status	packet	surface
implemented	net.minecraft.network.protocol.common.ClientboundDisconnectPacket	component
implemented	net.minecraft.network.protocol.common.ClientboundResourcePackPushPacket	component
implemented	net.minecraft.network.protocol.common.ClientboundServerLinksPacket	component
implemented	net.minecraft.network.protocol.common.ClientboundShowDialogPacket	dialog-item-component
implemented	net.minecraft.network.protocol.configuration.ClientboundRegistryDataPacket	canonical-item-tag
implemented	net.minecraft.network.protocol.game.ClientboundBossEventPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundBundlePacket	recursive-packet
implemented	net.minecraft.network.protocol.game.ClientboundCommandSuggestionsPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundContainerSetContentPacket	item-stack
implemented	net.minecraft.network.protocol.game.ClientboundContainerSetSlotPacket	item-stack
implemented	net.minecraft.network.protocol.game.ClientboundDisguisedChatPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundExplodePacket	particle
implemented	net.minecraft.network.protocol.game.ClientboundLevelParticlesPacket	particle
implemented	net.minecraft.network.protocol.game.ClientboundMapItemDataPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundMerchantOffersPacket	item-stack
implemented	net.minecraft.network.protocol.game.ClientboundOpenScreenPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundPlaceGhostRecipePacket	recipe-display-item
implemented	net.minecraft.network.protocol.game.ClientboundPlayerChatPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundPlayerCombatKillPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundPlayerInfoUpdatePacket	component
implemented	net.minecraft.network.protocol.game.ClientboundRecipeBookAddPacket	recipe-display-item
implemented	net.minecraft.network.protocol.game.ClientboundServerDataPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundSetActionBarTextPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundSetCursorItemPacket	item-stack
implemented	net.minecraft.network.protocol.game.ClientboundSetEntityDataPacket	dynamic-item-particle-component
implemented	net.minecraft.network.protocol.game.ClientboundSetEquipmentPacket	item-stack
implemented	net.minecraft.network.protocol.game.ClientboundSetObjectivePacket	component-number-format
implemented	net.minecraft.network.protocol.game.ClientboundSetPlayerInventoryPacket	item-stack
implemented	net.minecraft.network.protocol.game.ClientboundSetPlayerTeamPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundSetScorePacket	component-number-format
implemented	net.minecraft.network.protocol.game.ClientboundSetSubtitleTextPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundSetTitleTextPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundSystemChatPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundTabListPacket	component
implemented	net.minecraft.network.protocol.game.ClientboundTestInstanceBlockStatus	component
implemented	net.minecraft.network.protocol.game.ClientboundUpdateAdvancementsPacket	advancement-item-component
implemented	net.minecraft.network.protocol.game.ClientboundUpdateRecipesPacket	recipe-display-item
implemented	net.minecraft.network.protocol.game.ClientboundBlockEntityDataPacket	canonical-item-nbt
implemented	net.minecraft.network.protocol.game.ClientboundLevelChunkWithLightPacket	canonical-item-block-entity-nbt
implemented	net.minecraft.network.protocol.game.ClientboundTagQueryPacket	canonical-item-nbt
implemented	net.minecraft.network.protocol.login.ClientboundLoginDisconnectPacket	pre-viewer-sanitized-component
implemented	net.minecraft.network.protocol.status.ClientboundStatusResponsePacket	pre-viewer-sanitized-component
