strategy	component	surface
direct-component	minecraft:attribute_modifiers	override-text-show-item
codec-graph	minecraft:bees	occupant-entity-nbt
codec-graph	minecraft:block_entity_data	typed-block-entity-nbt
direct	minecraft:bundle_contents	item-stack-template-list
codec-graph	minecraft:bucket_entity_data	entity-nbt
codec-graph	minecraft:can_break	predicate-nbt
codec-graph	minecraft:can_place_on	predicate-nbt
codec-graph	minecraft:cat/variant	registry-holder-graph
direct	minecraft:charged_projectiles	item-stack-template-list
codec-graph	minecraft:chicken/variant	registry-holder-graph
direct	minecraft:container	optional-item-stack-template-list
codec-graph	minecraft:container_loot	resource-graph
codec-graph	minecraft:cow/variant	registry-holder-graph
codec-graph	minecraft:custom_data	arbitrary-nbt
direct-component	minecraft:custom_name	component-show-item
codec-graph	minecraft:enchantments	inline-holder-component
codec-graph	minecraft:entity_data	typed-entity-nbt
codec-graph	minecraft:frog/variant	registry-holder-graph
codec-graph	minecraft:instrument	inline-holder-component
direct-component	minecraft:item_name	component-show-item
codec-graph	minecraft:jukebox_playable	inline-holder-component
codec-graph	minecraft:lock	item-component-predicate
codec-graph	minecraft:lodestone_tracker	resource-graph
direct-component	minecraft:lore	component-list-show-item
codec-graph	minecraft:painting/variant	registry-holder-component
codec-graph	minecraft:pig/variant	registry-holder-graph
codec-graph	minecraft:provides_trim_material	inline-holder-component
codec-graph	minecraft:stored_enchantments	inline-holder-component
codec-graph	minecraft:sulfur_cube_content	item-stack-template
codec-graph	minecraft:trim	inline-holder-components
codec-graph	minecraft:tropical_fish/pattern	registry-holder-graph
direct	minecraft:use_remainder	item-stack-template
codec-graph	minecraft:wolf/variant	registry-holder-graph
direct-component	minecraft:written_book_content	filtered-page-components
codec-graph	minecraft:zombie_nautilus/variant	registry-holder-graph
